                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9081,                 3.3516,                 1.9533,                0.00729,                0.51425,                0.10508,                0.05341,                  1.778,                 3.5329,                 1.5364,             0.00040441,             0.00040441,             0.00040441
                      2,                 1.7068,                 2.5262,                 1.7629,                0.04029,                0.49987,                0.09178,                0.05115,                 1.7628,                 3.3035,                  1.635,             0.00081566,             0.00081566,             0.00081566
                      3,                 1.7164,                 2.3638,                 1.8015,                0.60736,                0.32253,                0.38648,                0.21721,                 1.8436,                  2.558,                  1.758,              0.0012214,              0.0012214,              0.0012214
                      4,                 1.7079,                 2.2145,                 1.7889,                0.54129,                0.40898,                0.36602,                0.20584,                 2.1271,                 4.3405,                 2.0462,              0.0012252,              0.0012252,              0.0012252
                      5,                 1.6642,                 2.0886,                 1.7655,                0.55006,                0.54969,                0.54795,                 0.2857,                 1.8511,                 2.2031,                 1.7676,               0.001217,               0.001217,               0.001217
                      6,                 1.6335,                 1.9893,                 1.7355,                0.66321,                0.67565,                0.74872,                0.39963,                 1.7146,                 1.5189,                 1.5627,              0.0012087,              0.0012087,              0.0012087
                      7,                 1.5922,                 1.8878,                 1.7084,                0.72551,                0.60466,                0.66713,                0.41975,                 1.7471,                 2.0107,                 1.7124,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.5749,                  1.852,                 1.7033,                0.44711,                 0.5619,                0.44686,                0.26797,                  1.666,                 1.7497,                 1.5604,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.5387,                 1.7906,                 1.6701,                0.89383,                0.85965,                0.92088,                0.59061,                 1.4768,                 1.2102,                 1.4434,               0.001184,               0.001184,               0.001184
                     10,                 1.5167,                 1.7399,                 1.6543,                0.27814,                 0.3367,                0.23408,                0.15742,                  1.767,                 3.2377,                 1.7738,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.5173,                 1.7095,                 1.6561,                0.80306,                0.72616,                0.83359,                0.54738,                  1.516,                 1.3458,                 1.4344,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.4835,                 1.6735,                 1.6347,                0.17294,                0.16386,                0.14419,                0.08933,                 1.7739,                 3.5874,                 1.7433,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.4664,                  1.663,                 1.6234,                0.87583,                0.91469,                0.94485,                0.59506,                 1.3987,                0.93349,                 1.4084,               0.001151,               0.001151,               0.001151
                     14,                 1.4544,                 1.6397,                 1.6213,                0.88592,                0.88675,                0.93309,                0.62502,                 1.3413,                0.99177,                 1.3147,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.4422,                 1.5982,                 1.6113,                0.89225,                0.83813,                0.90405,                0.58292,                 1.3568,                   1.14,                 1.3162,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.4204,                 1.5821,                 1.5946,                0.37308,                0.47018,                0.40783,                0.25144,                 1.5373,                  1.642,                 1.5098,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.4045,                 1.5532,                 1.5766,                0.78288,                0.70682,                0.78098,                0.50594,                 1.4639,                 1.5616,                 1.3816,               0.001118,               0.001118,               0.001118
                     18,                 1.3914,                  1.543,                 1.5658,                0.32344,                0.42176,                 0.2984,                0.17931,                 1.5404,                 2.2181,                 1.4831,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.3968,                 1.5709,                 1.5842,                0.65224,                0.68715,                 0.7284,                 0.4503,                 1.3791,                 1.1957,                 1.3168,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.3933,                 1.5283,                 1.5672,                0.48155,                0.43628,                 0.5102,                0.35856,                 1.4724,                 2.3416,                  1.498,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.3775,                 1.5191,                  1.561,                0.45544,                0.40165,                0.43331,                0.33771,                 1.7056,                 3.9909,                 1.7702,               0.001085,               0.001085,               0.001085
                     22,                 1.3694,                 1.4966,                 1.5629,                0.72559,                0.60435,                 0.6774,                0.48587,                 1.3117,                 1.6718,                 1.3463,              0.0010768,              0.0010768,              0.0010768
                     23,                 1.3574,                 1.4642,                 1.5386,                0.88425,                0.90125,                 0.9389,                0.63551,                 1.2743,                0.84014,                 1.2878,              0.0010685,              0.0010685,              0.0010685
                     24,                 1.3549,                 1.4707,                 1.5446,                  0.932,                0.93874,                0.96762,                0.68619,                 1.2617,                0.75886,                 1.2798,              0.0010603,              0.0010603,              0.0010603
                     25,                 1.3285,                 1.4048,                 1.5146,                0.94599,                0.93643,                0.97025,                0.67074,                 1.2811,                 0.7141,                 1.2553,               0.001052,               0.001052,               0.001052
                     26,                 1.3367,                  1.447,                 1.5383,                0.94762,                0.91143,                0.96505,                 0.6831,                 1.2447,                0.75971,                 1.2665,              0.0010438,              0.0010438,              0.0010438
                     27,                 1.3382,                 1.4503,                  1.543,                0.71317,                0.50339,                0.56503,                0.38571,                  1.356,                 1.5768,                 1.3532,              0.0010355,              0.0010355,              0.0010355
                     28,                  1.308,                 1.3981,                 1.5193,                0.63469,                  0.597,                0.65694,                0.47814,                 1.3631,                 1.8134,                  1.354,              0.0010273,              0.0010273,              0.0010273
                     29,                 1.3134,                 1.4166,                 1.5308,                0.95861,                0.94948,                0.97683,                0.71058,                 1.1288,                0.67955,                  1.191,               0.001019,               0.001019,               0.001019
                     30,                 1.3044,                 1.4014,                 1.5181,                0.91392,                 0.9632,                0.97038,                0.69609,                 1.2607,                0.72238,                 1.2782,              0.0010107,              0.0010107,              0.0010107
                     31,                   1.31,                 1.3843,                  1.521,                0.94914,                0.93513,                0.97325,                0.69859,                 1.2766,                0.76941,                 1.2733,              0.0010025,              0.0010025,              0.0010025
                     32,                 1.2993,                 1.3943,                 1.5117,                0.57316,                0.57866,                0.61331,                0.45066,                 1.3621,                 1.8812,                 1.3901,             0.00099425,             0.00099425,             0.00099425
                     33,                 1.2878,                 1.3709,                 1.5065,                0.90477,                0.95982,                0.95704,                 0.6843,                 1.2007,                0.72637,                 1.2433,               0.000986,               0.000986,               0.000986
                     34,                 1.2997,                  1.375,                 1.5222,                0.27503,                0.19826,                0.22006,                0.12957,                 1.5209,                 3.0045,                 1.5527,             0.00097775,             0.00097775,             0.00097775
                     35,                 1.2849,                 1.3557,                 1.4942,                0.88917,                0.78598,                0.86659,                0.61119,                 1.2253,                0.79775,                 1.2842,              0.0009695,              0.0009695,              0.0009695
                     36,                 1.2788,                 1.3626,                 1.4965,                0.27681,                0.31242,                 0.3079,                0.22659,                 1.4135,                 2.1515,                 1.4011,             0.00096125,             0.00096125,             0.00096125
                     37,                 1.2806,                 1.3523,                 1.4977,                0.89125,                 0.7668,                0.83382,                0.60354,                 1.2066,                 1.0143,                 1.2358,               0.000953,               0.000953,               0.000953
                     38,                 1.2776,                 1.3355,                 1.4968,                0.07129,                0.27387,                0.07509,                0.05264,                 1.4112,                  3.392,                 1.4734,             0.00094475,             0.00094475,             0.00094475
                     39,                 1.2644,                 1.3326,                 1.5029,                0.72516,                0.58481,                0.63298,                0.45502,                  1.241,                 1.6831,                 1.2941,              0.0009365,              0.0009365,              0.0009365
                     40,                 1.2559,                  1.322,                 1.4839,                0.79504,                0.60482,                0.70344,                0.49831,                 1.3336,                 1.2956,                 1.3131,             0.00092825,             0.00092825,             0.00092825
                     41,                 1.2448,                 1.3032,                 1.4829,                0.96664,                0.96245,                 0.9837,                0.70602,                 1.1428,                0.65433,                 1.1801,                0.00092,                0.00092,                0.00092
                     42,                 1.2385,                 1.2938,                 1.4681,                0.96286,                0.95656,                 0.9851,                0.74787,                 1.1071,                0.61453,                 1.1882,             0.00091175,             0.00091175,             0.00091175
                     43,                 1.2368,                 1.2876,                 1.4596,                 0.8636,                0.80121,                0.86717,                0.65605,                 1.1757,                 1.1389,                 1.2182,              0.0009035,              0.0009035,              0.0009035
                     44,                 1.2368,                 1.3117,                 1.4769,                0.81177,                0.78554,                0.81773,                0.58515,                 1.1606,                0.80506,                  1.206,             0.00089525,             0.00089525,             0.00089525
                     45,                 1.2162,                  1.295,                 1.4582,                0.71543,                0.59636,                0.61324,                0.44025,                 1.2687,                  1.424,                  1.291,               0.000887,               0.000887,               0.000887
                     46,                 1.2276,                 1.2913,                 1.4582,                0.96795,                 0.9401,                0.97045,                0.71077,                 1.0957,                0.62826,                 1.1607,             0.00087875,             0.00087875,             0.00087875
                     47,                 1.2405,                 1.2945,                 1.4764,                0.87761,                0.80012,                0.89993,                0.65592,                 1.0632,                0.73827,                 1.1538,              0.0008705,              0.0008705,              0.0008705
                     48,                 1.2026,                 1.2615,                 1.4465,                0.61329,                0.39188,                0.45915,                0.30035,                 1.3046,                  1.506,                 1.3717,             0.00086225,             0.00086225,             0.00086225
                     49,                 1.1988,                 1.2446,                 1.4438,                0.85377,                0.82213,                0.86362,                0.61475,                 1.1601,                0.79185,                  1.192,               0.000854,               0.000854,               0.000854
                     50,                 1.1925,                 1.2522,                 1.4415,                0.87702,                0.89791,                0.93459,                0.68865,                 1.1313,                0.67619,                 1.2024,             0.00084575,             0.00084575,             0.00084575
                     51,                 1.1936,                 1.2303,                  1.432,                0.94924,                0.97794,                0.98442,                0.72674,                 1.0836,                 0.6257,                  1.163,              0.0008375,              0.0008375,              0.0008375
                     52,                 1.1928,                 1.2231,                 1.4379,                0.95821,                0.96367,                0.98397,                0.72374,                 1.1033,                0.59503,                 1.1889,             0.00082925,             0.00082925,             0.00082925
                     53,                 1.1867,                 1.2343,                 1.4447,                0.94738,                0.88741,                0.95132,                0.69316,                 1.0915,                 0.6404,                  1.167,               0.000821,               0.000821,               0.000821
                     54,                 1.1845,                  1.224,                 1.4351,                0.96727,                0.94169,                0.98193,                 0.7317,                 1.1237,                0.60438,                 1.1548,             0.00081275,             0.00081275,             0.00081275
                     55,                 1.1871,                 1.2304,                 1.4356,                0.72511,                0.52621,                0.61651,                0.43255,                 1.1727,                 1.2183,                 1.2069,              0.0008045,              0.0008045,              0.0008045
                     56,                 1.1772,                  1.216,                 1.4293,                0.97114,                0.97214,                 0.9879,                0.74361,                 1.0662,                0.57785,                 1.1391,             0.00079625,             0.00079625,             0.00079625
                     57,                 1.1797,                 1.1973,                 1.4299,                0.74922,                0.55942,                0.61537,                0.43663,                 1.1208,                   1.14,                 1.2045,               0.000788,               0.000788,               0.000788
                     58,                 1.1571,                 1.1858,                 1.4114,                0.83386,                0.70354,                0.77472,                0.55772,                 1.0871,                0.95273,                 1.1817,             0.00077975,             0.00077975,             0.00077975
                     59,                 1.1539,                 1.1751,                 1.4229,                0.75148,                0.70413,                 0.7421,                0.51115,                 1.1792,                0.97787,                 1.2156,              0.0007715,              0.0007715,              0.0007715
                     60,                 1.1567,                 1.1843,                 1.4119,                0.96164,                0.96678,                0.98778,                0.73626,                 1.0991,                0.56438,                 1.1536,             0.00076325,             0.00076325,             0.00076325
                     61,                 1.1469,                 1.1707,                 1.4051,                0.96033,                0.97556,                0.98712,                0.75502,                 1.0598,                0.57309,                 1.1085,               0.000755,               0.000755,               0.000755
                     62,                 1.1625,                 1.1759,                 1.4179,                0.97937,                0.96871,                0.98741,                0.74904,                 1.1144,                0.62754,                 1.1667,             0.00074675,             0.00074675,             0.00074675
                     63,                 1.1407,                  1.174,                 1.4067,                0.71393,                0.60595,                0.69934,                0.50329,                 1.1367,                 1.0872,                 1.2127,              0.0007385,              0.0007385,              0.0007385
                     64,                 1.1417,                  1.168,                  1.412,                0.97721,                0.97099,                0.98814,                 0.7669,                 1.0541,                0.57115,                 1.1466,             0.00073025,             0.00073025,             0.00073025
                     65,                 1.1466,                 1.1782,                 1.4113,                0.96093,                0.96471,                0.98518,                0.74154,                 1.1573,                0.68048,                 1.2008,               0.000722,               0.000722,               0.000722
                     66,                 1.1327,                 1.1627,                 1.4043,                0.97563,                 0.9778,                0.98824,                0.76008,                 1.0485,                0.60153,                  1.129,             0.00071375,             0.00071375,             0.00071375
                     67,                 1.1355,                 1.1561,                 1.4031,                0.96791,                0.94653,                0.97812,                0.75227,                 1.0313,                0.58625,                 1.1172,              0.0007055,              0.0007055,              0.0007055
                     68,                 1.1212,                 1.1313,                 1.3871,                0.71696,                 0.4761,                0.58461,                0.40928,                 1.1844,                 1.2955,                  1.214,             0.00069725,             0.00069725,             0.00069725
                     69,                 1.1294,                  1.167,                 1.4001,                0.94444,                0.92384,                0.96552,                0.72474,                 1.0479,                0.63141,                 1.1606,               0.000689,               0.000689,               0.000689
                     70,                 1.1091,                 1.1317,                 1.3833,                 0.9695,                0.97739,                0.98701,                0.75091,                 1.0825,                 0.5962,                 1.1275,             0.00068075,             0.00068075,             0.00068075
                     71,                 1.1222,                 1.1574,                 1.3863,                0.91079,                0.90272,                 0.9394,                0.71519,                  1.032,                0.59155,                 1.1247,              0.0006725,              0.0006725,              0.0006725
                     72,                 1.1199,                 1.1409,                 1.3949,                 0.9123,                  0.891,                0.94927,                0.71573,                 1.0761,                 0.6582,                 1.1437,             0.00066425,             0.00066425,             0.00066425
                     73,                 1.1048,                 1.1236,                 1.3773,                0.96652,                 0.9833,                0.98853,                0.75387,                  1.044,                0.55101,                 1.1222,               0.000656,               0.000656,               0.000656
                     74,                 1.1081,                 1.1219,                 1.3789,                0.73055,                0.63952,                0.70227,                0.51405,                 1.0932,                0.92965,                 1.1665,             0.00064775,             0.00064775,             0.00064775
                     75,                 1.1006,                 1.1019,                 1.3724,                0.88845,                0.80899,                0.90347,                0.68663,                 1.0588,                0.76326,                 1.1537,              0.0006395,              0.0006395,              0.0006395
                     76,                  1.099,                 1.1202,                 1.3831,                0.86679,                0.71866,                 0.8244,                0.60871,                 1.0873,                0.86123,                 1.1757,             0.00063125,             0.00063125,             0.00063125
                     77,                  1.096,                 1.0985,                 1.3749,                0.69095,                0.36064,                0.44397,                 0.2953,                  1.261,                 1.6522,                 1.3182,               0.000623,               0.000623,               0.000623
                     78,                 1.1047,                 1.1026,                 1.3865,                 0.9728,                0.95965,                 0.9887,                0.75859,                   1.04,                0.55049,                 1.1236,             0.00061475,             0.00061475,             0.00061475
                     79,                 1.0857,                 1.1122,                 1.3774,                0.97009,                0.98815,                0.98867,                0.76835,                 1.0272,                0.51601,                  1.103,              0.0006065,              0.0006065,              0.0006065
                     80,                 1.0956,                 1.1055,                  1.378,                0.80578,                0.74628,                0.77641,                 0.5899,                 1.0422,                0.85525,                 1.1304,             0.00059825,             0.00059825,             0.00059825
                     81,                 1.0803,                 1.0906,                 1.3571,                0.95256,                0.95535,                 0.9788,                0.74897,                0.99381,                0.55646,                 1.1096,                0.00059,                0.00059,                0.00059
                     82,                 1.0795,                 1.0791,                 1.3538,                 0.6622,                0.46362,                0.55362,                0.38024,                 1.2033,                 1.3885,                 1.2477,             0.00058175,             0.00058175,             0.00058175
                     83,                  1.073,                 1.0774,                  1.351,                0.97495,                0.96749,                0.98479,                0.76055,                0.97786,                0.55134,                 1.0884,              0.0005735,              0.0005735,              0.0005735
                     84,                 1.0661,                 1.0551,                 1.3549,                0.77618,                0.65122,                0.71015,                0.52722,                 1.1109,                 1.0525,                 1.1745,             0.00056525,             0.00056525,             0.00056525
                     85,                 1.0556,                 1.0424,                 1.3392,                0.97421,                0.98174,                0.98564,                 0.7696,                0.97891,                0.54618,                 1.0731,               0.000557,               0.000557,               0.000557
                     86,                 1.0633,                 1.0723,                 1.3555,                0.95386,                0.84017,                0.92265,                0.70239,                 1.0219,                0.60749,                 1.1225,             0.00054875,             0.00054875,             0.00054875
                     87,                 1.0481,                 1.0439,                 1.3359,                0.70663,                0.67917,                0.70651,                0.52922,                 1.0375,                0.97227,                 1.1036,              0.0005405,              0.0005405,              0.0005405
                     88,                 1.0507,                 1.0616,                 1.3542,                0.83213,                0.82015,                0.87266,                0.66948,                 1.0388,                0.70544,                 1.1065,             0.00053225,             0.00053225,             0.00053225
                     89,                  1.047,                  1.038,                 1.3326,                0.96052,                0.91067,                0.95638,                0.74665,                0.99001,                0.54329,                 1.0662,               0.000524,               0.000524,               0.000524
                     90,                 1.0608,                 1.0573,                 1.3508,                0.96805,                0.96965,                0.98599,                 0.7774,                0.97222,                0.55324,                 1.0613,             0.00051575,             0.00051575,             0.00051575
                     91,                 1.0299,                 1.0334,                 1.3317,                 0.9799,                 0.9724,                0.99042,                0.79162,                0.91549,                0.50832,                 1.0415,              0.0005075,              0.0005075,              0.0005075
                     92,                 1.0482,                 1.0572,                 1.3478,                0.95758,                 0.8998,                0.96363,                0.74492,                0.99592,                0.59597,                 1.0767,             0.00049925,             0.00049925,             0.00049925
                     93,                 1.0496,                 1.0398,                 1.3354,                0.90208,                0.79942,                0.84961,                0.66123,                0.98069,                0.68731,                 1.0771,               0.000491,               0.000491,               0.000491
                     94,                  1.033,                 1.0241,                 1.3317,                0.71051,                0.66465,                0.69926,                0.52059,                 1.0476,                 1.0374,                 1.1378,             0.00048275,             0.00048275,             0.00048275
                     95,                 1.0418,                  1.029,                 1.3337,                0.85497,                0.80659,                0.84251,                0.65279,                0.96589,                0.70147,                 1.0794,              0.0004745,              0.0004745,              0.0004745
                     96,                 1.0337,                 1.0242,                 1.3312,                0.97783,                0.98486,                 0.9891,                0.79166,                0.96314,                0.49624,                 1.0564,             0.00046625,             0.00046625,             0.00046625
                     97,                 1.0337,                 1.0133,                 1.3248,                0.96941,                0.96766,                0.98418,                0.77278,                0.95307,                0.50218,                 1.0608,               0.000458,               0.000458,               0.000458
                     98,                 1.0179,                 1.0081,                 1.3217,                 0.9423,                 0.8696,                0.95743,                0.74729,                0.97372,                 0.5797,                 1.0644,             0.00044975,             0.00044975,             0.00044975
                     99,                 1.0087,                 1.0006,                 1.3174,                0.93121,                0.83391,                 0.9293,                0.72428,                0.97761,                0.59993,                 1.0696,              0.0004415,              0.0004415,              0.0004415
                    100,                  1.015,                 1.0233,                  1.324,                0.77396,                0.75153,                0.78701,                0.60091,                0.96703,                 0.7713,                 1.0906,             0.00043325,             0.00043325,             0.00043325
                    101,                 1.0061,                0.97508,                 1.2997,                0.97731,                0.97912,                  0.987,                0.78014,                0.92605,                 0.4715,                 1.0368,               0.000425,               0.000425,               0.000425
                    102,                 1.0005,                0.98779,                 1.3006,                0.91813,                 0.9102,                0.95171,                0.74522,                0.92798,                0.55383,                 1.0465,             0.00041675,             0.00041675,             0.00041675
                    103,                0.98929,                0.98373,                 1.3052,                0.90783,                0.78587,                0.90297,                0.69828,                 0.9634,                0.64355,                 1.0673,              0.0004085,              0.0004085,              0.0004085
                    104,                 1.0042,                0.99404,                 1.3016,                0.87209,                0.67528,                0.84321,                0.65489,                0.95056,                0.78213,                 1.0758,             0.00040025,             0.00040025,             0.00040025
                    105,                0.99606,                0.99855,                 1.3047,                0.78258,                0.71831,                0.76881,                0.58571,                0.95848,                0.83976,                 1.0927,               0.000392,               0.000392,               0.000392
                    106,                0.99861,                0.98159,                 1.3103,                0.86781,                0.80111,                0.87434,                0.68411,                0.91387,                0.66961,                 1.0517,             0.00038375,             0.00038375,             0.00038375
                    107,                0.99817,                0.97993,                 1.3031,                0.82869,                0.82621,                 0.8636,                0.66873,                0.92678,                 0.6534,                 1.0575,              0.0003755,              0.0003755,              0.0003755
                    108,                0.96991,                0.96722,                 1.2866,                 0.9398,                0.84567,                0.94712,                0.73591,                0.97335,                0.56553,                 1.0718,             0.00036725,             0.00036725,             0.00036725
                    109,                0.96934,                0.96017,                 1.2813,                0.77916,                0.71126,                0.77148,                0.59146,                 1.0077,                0.86263,                 1.1144,               0.000359,               0.000359,               0.000359
                    110,                0.99312,                0.98191,                 1.3007,                0.84647,                0.71894,                0.81972,                 0.6388,                0.96163,                0.73645,                   1.09,             0.00035075,             0.00035075,             0.00035075
                    111,                0.98471,                0.96938,                 1.3025,                0.95429,                 0.8823,                0.96025,                0.74858,                0.97939,                 0.5634,                 1.0769,              0.0003425,              0.0003425,              0.0003425
                    112,                0.98003,                0.96872,                 1.3004,                 0.7117,                 0.6644,                0.72963,                0.54939,                  1.042,                 0.9476,                  1.126,             0.00033425,             0.00033425,             0.00033425
                    113,                0.97318,                0.95607,                  1.282,                0.78328,                0.58052,                0.66377,                0.49864,                  1.072,                 1.1321,                 1.1541,               0.000326,               0.000326,               0.000326
                    114,                0.96296,                0.95876,                 1.2844,                0.80086,                0.75314,                0.81281,                0.63561,                 0.9899,                0.77179,                 1.1013,             0.00031775,             0.00031775,             0.00031775
                    115,                0.96572,                0.93561,                 1.2727,                0.95337,                 0.9091,                0.96182,                0.76511,                  0.954,                0.53197,                   1.07,              0.0003095,              0.0003095,              0.0003095
                    116,                0.96743,                 0.9472,                 1.2848,                0.78881,                0.67327,                0.75599,                0.57751,                0.99993,                0.91914,                 1.1054,             0.00030125,             0.00030125,             0.00030125
                    117,                0.95476,                0.94407,                 1.2767,                 0.7614,                 0.6952,                0.75085,                0.57086,                 1.0293,                0.96701,                 1.1188,               0.000293,               0.000293,               0.000293
                    118,                0.95872,                0.93378,                 1.2761,                0.94941,                0.92943,                0.97366,                0.76988,                0.97402,                0.54932,                 1.0706,             0.00028475,             0.00028475,             0.00028475
                    119,                0.93587,                0.92291,                 1.2569,                0.85134,                0.76507,                0.83553,                0.65424,                0.94668,                0.72324,                 1.0751,              0.0002765,              0.0002765,              0.0002765
                    120,                0.96038,                0.92537,                 1.2798,                0.76654,                0.76963,                0.79158,                0.60435,                 0.9757,                0.79934,                 1.0895,             0.00026825,             0.00026825,             0.00026825
                    121,                0.94795,                0.91548,                 1.2793,                0.91012,                0.76707,                0.86669,                0.67171,                0.94334,                0.67423,                 1.0589,                0.00026,                0.00026,                0.00026
