                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9231,                 3.6597,                 4.2622,                 1.6136,                0.00414,                0.41786,                0.11219,                0.06929,                0.00423,                 0.4006,                 0.1016,                0.03752,                 1.3927,                 2.5082,                  3.692,                 1.3536,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3684,                 1.9843,                 2.2832,                 1.1122,                0.00463,                0.56009,                0.36298,                 0.2195,                0.00375,                0.46137,                0.27073,                0.12724,                 1.3614,                  2.083,                 3.5203,                 1.2734,             0.00038494,             0.00038494,             0.00038494
                      3,                 1.2891,                 1.7189,                 1.6493,                 1.0817,                0.96046,                0.12863,                0.42251,                0.23418,                0.94069,                0.12029,                0.38593,                0.15127,                 1.3604,                 2.0502,                 3.2721,                 1.1923,             0.00057974,             0.00057974,             0.00057974
                      4,                 1.2445,                 1.6283,                 1.3941,                 1.0671,                0.78944,                0.08883,                0.25249,                0.15318,                0.75151,                 0.0754,                 0.1979,                  0.072,                 1.3073,                 1.8467,                 3.1585,                 1.2296,             0.00077191,             0.00077191,             0.00077191
                      5,                 1.2319,                 1.6207,                 1.2799,                 1.0679,                0.53869,                0.20235,                0.40557,                0.24698,                0.48383,                0.17803,                0.31286,                0.13765,                   1.37,                  2.307,                 2.7233,                 1.2057,             0.00096143,             0.00096143,             0.00096143
                      6,                 1.1951,                 1.5969,                 1.1708,                 1.0516,                 0.8101,                0.33446,                0.49071,                0.29923,                0.73012,                0.35968,                0.47613,                0.18774,                 1.3768,                 1.9348,                 1.9642,                 1.2058,              0.0011483,              0.0011483,              0.0011483
                      7,                 1.1826,                 1.5605,                  1.111,                  1.048,                0.62232,                0.43528,                0.52424,                0.28991,                0.61242,                0.43577,                0.52615,                0.24178,                 1.5313,                 1.7855,                 1.9231,                 1.3778,              0.0012005,              0.0012005,              0.0012005
                      8,                 1.1984,                 1.5249,                 1.0623,                 1.0467,                0.75772,                 0.6562,                0.76396,                0.46636,                0.72236,                0.61974,                 0.7237,                0.30091,                 1.2563,                  1.674,                 1.1734,                 1.1612,              0.0011922,              0.0011922,              0.0011922
                      9,                 1.1468,                 1.5031,                0.98571,                 1.0417,                0.60681,                0.67028,                0.70658,                0.43495,                0.58696,                0.65424,                0.65985,                0.28379,                  1.226,                 1.6102,                 1.4941,                 1.1149,               0.001184,               0.001184,               0.001184
                     10,                 1.1164,                 1.4534,                0.92431,                 1.0205,                 0.8435,                0.74205,                0.83081,                0.51743,                0.75715,                0.70754,                0.77225,                 0.3465,                 1.2078,                  1.531,                 1.0356,                 1.1407,              0.0011757,              0.0011757,              0.0011757
                     11,                 1.1269,                 1.4326,                  0.879,                 1.0231,                0.80715,                0.85009,                0.91223,                0.61891,                0.76204,                0.80593,                0.83105,                  0.335,                 1.1623,                 1.6813,                0.93569,                 1.0918,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.0962,                 1.4019,                0.85419,                 1.0112,                0.84595,                 0.8696,                0.92081,                0.61677,                0.81464,                0.83414,                0.89151,                0.42526,                 1.1708,                 1.5038,                0.84886,                 1.1265,              0.0011593,              0.0011593,              0.0011593
                     13,                  1.091,                  1.413,                0.80923,                 1.0127,                 0.8236,                0.74252,                0.84986,                0.57438,                0.81066,                0.72535,                0.81272,                0.38344,                 1.1433,                 1.5647,                 1.0238,                  1.077,               0.001151,               0.001151,               0.001151
                     14,                 1.0814,                 1.4053,                0.78314,                 1.0109,                0.90242,                0.81341,                0.91333,                0.63653,                0.87364,                0.79549,                0.88021,                0.43661,                 1.0787,                 1.4906,                0.79428,                 1.0567,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.0716,                 1.3944,                0.77427,                 1.0036,                0.91492,                0.88728,                0.93578,                0.65268,                0.83921,                0.85826,                0.85665,                 0.3718,                 1.0482,                 1.7923,                0.71546,                 1.0457,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.0444,                 1.3647,                0.73096,                0.98834,                0.89303,                0.92427,                0.95017,                0.66719,                0.86537,                0.89188,                0.89939,                0.46526,                 1.0766,                 1.4384,                0.69523,                 1.0515,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0229,                 1.3333,                0.70536,                0.98075,                0.88933,                0.80124,                0.92986,                0.63993,                0.87233,                0.78647,                0.90053,                 0.3916,                 1.0556,                 1.4495,                0.83618,                 1.0595,               0.001118,               0.001118,               0.001118
                     18,                 1.0313,                 1.3404,                0.69256,                0.99233,                0.95252,                 0.9292,                0.97324,                0.68049,                0.91594,                0.91219,                0.93594,                 0.4685,                 1.0167,                 1.3082,                0.70112,                 1.0315,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.0348,                 1.3341,                0.68449,                0.98461,                0.94873,                0.94791,                 0.9726,                0.67503,                0.90831,                0.90828,                0.92315,                0.47561,                 1.0543,                 1.4475,                0.60969,                 1.0576,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.0041,                 1.2806,                0.65729,                0.98507,                0.94825,                0.91379,                0.95428,                0.69967,                0.94825,                0.91379,                0.95262,                0.52741,                0.95868,                 1.2479,                0.60077,                0.99434,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.0234,                 1.3208,                0.65536,                0.98205,                0.92849,                0.87654,                0.94673,                0.65862,                0.90388,                0.85021,                0.92578,                0.46705,                 1.0585,                 1.2837,                0.63631,                 1.0321,               0.001085,               0.001085,               0.001085
                     22,                 1.0045,                 1.2796,                0.63788,                0.98436,                0.96475,                0.92702,                0.97363,                0.70438,                0.95242,                 0.9166,                0.96063,                0.52514,                0.95166,                 1.2039,                0.55943,                  1.002,              0.0010768,              0.0010768,              0.0010768
                     23,                0.99197,                 1.2381,                0.62249,                0.97527,                0.92739,                0.92956,                0.97006,                0.71227,                 0.9255,                0.92748,                0.96523,                0.52162,                0.95089,                 1.2219,                0.58791,                0.99951,              0.0010685,              0.0010685,              0.0010685
                     24,                0.96946,                  1.244,                0.59696,                 0.9706,                0.94039,                0.93527,                0.96139,                0.71006,                0.92696,                 0.9221,                0.94641,                0.50892,                0.95945,                 1.2695,                0.60758,                  1.024,              0.0010603,              0.0010603,              0.0010603
                     25,                0.96993,                 1.2675,                0.61634,                0.96537,                0.94488,                0.94384,                0.97207,                0.72263,                  0.938,                0.93522,                0.96316,                0.53024,                0.96257,                 1.2767,                0.54898,                 1.0025,               0.001052,               0.001052,               0.001052
                     26,                0.97153,                 1.2726,                0.60546,                0.97004,                0.94829,                0.95364,                0.97616,                0.71473,                 0.9349,                0.94674,                0.96212,                 0.5206,                0.96505,                 1.2948,                0.57311,                 1.0164,              0.0010438,              0.0010438,              0.0010438
                     27,                0.97162,                 1.2563,                0.59723,                 0.9686,                0.94311,                0.94934,                0.97135,                0.70059,                0.92449,                 0.9217,                0.95004,                0.48624,                0.98509,                 1.3168,                 0.6159,                 1.0096,              0.0010355,              0.0010355,              0.0010355
                     28,                0.94559,                  1.236,                0.59249,                0.95698,                0.95608,                0.92944,                 0.9763,                0.71134,                0.92922,                0.92566,                0.96042,                0.50389,                0.99769,                 1.2846,                0.57683,                 1.0242,              0.0010273,              0.0010273,              0.0010273
                     29,                0.95017,                 1.2507,                0.58892,                0.95882,                0.96692,                0.96662,                0.98298,                0.72642,                0.94502,                0.94128,                0.95257,                0.51872,                 0.9685,                 1.2849,                0.53345,                 1.0165,               0.001019,               0.001019,               0.001019
                     30,                0.94617,                 1.2462,                 0.5872,                0.96031,                0.97513,                0.95824,                0.97626,                0.72264,                0.95381,                0.93754,                0.94655,                0.47777,                0.93475,                 1.3768,                0.53747,                0.98266,              0.0010107,              0.0010107,              0.0010107
                     31,                0.92325,                 1.2228,                0.56647,                0.95753,                0.96136,                0.97315,                0.98639,                0.74097,                 0.9544,                0.96623,                0.98274,                0.57469,                 0.9226,                 1.1683,                0.48911,                0.97361,              0.0010025,              0.0010025,              0.0010025
                     32,                0.92593,                 1.1918,                  0.557,                0.95828,                0.94241,                0.94903,                0.98419,                0.74299,                0.95313,                0.91131,                0.96124,                0.54436,                0.89608,                 1.3186,                0.52126,                0.97595,             0.00099425,             0.00099425,             0.00099425
                     33,                 0.9275,                 1.2153,                0.56088,                0.95886,                 0.9587,                0.93229,                0.97292,                0.73701,                0.95234,                0.92008,                 0.9616,                0.55761,                0.92082,                 1.1686,                0.51287,                0.97873,               0.000986,               0.000986,               0.000986
                     34,                0.90712,                 1.1771,                0.54306,                0.95696,                0.95891,                0.96029,                0.97868,                0.74335,                0.94482,                0.94484,                0.95846,                0.54091,                0.91497,                 1.1971,                0.50218,                 0.9778,             0.00097775,             0.00097775,             0.00097775
                     35,                0.91989,                 1.2004,                0.55026,                0.94843,                0.97008,                0.93951,                0.97494,                0.73752,                0.97231,                0.94159,                0.97499,                0.50188,                0.95722,                 1.3228,                0.52075,                0.99997,              0.0009695,              0.0009695,              0.0009695
                     36,                0.94084,                 1.2095,                0.55743,                0.96028,                0.94014,                0.96048,                0.97714,                0.74982,                0.93321,                0.94962,                0.96711,                0.56302,                0.89752,                 1.1478,                 0.5009,                0.97854,             0.00096125,             0.00096125,             0.00096125
                     37,                0.90065,                 1.1795,                0.53849,                  0.947,                 0.9689,                0.96996,                0.98411,                0.75122,                0.95949,                0.96062,                0.97535,                0.54693,                0.88773,                 1.0857,                0.48481,                0.97181,               0.000953,               0.000953,               0.000953
                     38,                0.90325,                 1.1748,                0.53427,                0.94898,                0.96478,                0.93847,                0.98058,                0.72996,                0.95484,                0.92903,                0.96961,                0.56702,                0.94554,                 1.1812,                0.51024,                 1.0028,             0.00094475,             0.00094475,             0.00094475
                     39,                0.90271,                 1.1609,                0.54553,                0.94817,                0.94321,                0.97313,                0.97519,                0.74855,                0.94299,                0.97338,                0.97712,                0.56667,                0.88057,                 1.1216,                0.52065,                0.98303,              0.0009365,              0.0009365,              0.0009365
                     40,                0.89166,                 1.1821,                0.53231,                0.94436,                0.97228,                0.95927,                0.98196,                0.76013,                 0.9743,                0.95999,                0.98064,                0.57342,                0.87389,                 1.1509,                0.46995,                0.97479,             0.00092825,             0.00092825,             0.00092825
                     41,                0.87456,                 1.1702,                0.51716,                 0.9403,                0.98416,                0.96893,                0.98342,                0.75301,                0.97609,                0.96109,                0.97216,                0.54653,                0.90204,                 1.1826,                0.48385,                0.98932,                0.00092,                0.00092,                0.00092
                     42,                0.88461,                 1.1544,                0.52103,                0.93936,                 0.9734,                0.97385,                0.98577,                0.76529,                0.96176,                0.96204,                0.97959,                 0.6038,                0.90558,                 1.1342,                0.46479,                0.97134,             0.00091175,             0.00091175,             0.00091175
                     43,                0.89875,                 1.1627,                0.52433,                0.94422,                0.96149,                0.96625,                0.98017,                0.75205,                  0.952,                0.94883,                0.97729,                0.56378,                0.91094,                 1.1753,                0.48313,                0.98215,              0.0009035,              0.0009035,              0.0009035
                     44,                0.87442,                 1.1323,                0.50596,                0.94452,                0.96984,                0.97305,                0.98311,                 0.7507,                0.95182,                0.95709,                0.96622,                0.53194,                0.90488,                 1.2595,                0.47748,                0.97855,             0.00089525,             0.00089525,             0.00089525
                     45,                0.87036,                 1.1474,                0.50641,                 0.9324,                0.97181,                0.97248,                0.98491,                0.76767,                0.96203,                0.96305,                0.97654,                0.59855,                0.86032,                 1.0816,                0.45454,                0.95836,               0.000887,               0.000887,               0.000887
                     46,                0.86542,                 1.1332,                0.50262,                0.93504,                0.97335,                0.97492,                0.98552,                0.74328,                0.97554,                0.95676,                0.97643,                0.56414,                0.90311,                 1.1216,                0.47482,                0.99486,             0.00087875,             0.00087875,             0.00087875
                     47,                0.86538,                 1.1336,                0.50047,                0.94055,                0.96971,                 0.9748,                0.98605,                0.75077,                0.96382,                0.96795,                0.97891,                0.53941,                0.93059,                 1.2032,                0.49259,                 1.0027,              0.0008705,              0.0008705,              0.0008705
                     48,                0.88337,                 1.1364,                0.51603,                0.94661,                0.96091,                0.95502,                0.97683,                0.74558,                0.95547,                0.94975,                0.97223,                0.55186,                0.93318,                 1.1771,                0.49483,                0.99952,             0.00086225,             0.00086225,             0.00086225
                     49,                0.85961,                 1.1006,                0.50411,                0.93675,                0.97027,                0.96579,                0.98312,                0.76513,                0.97788,                0.96408,                0.98317,                0.60863,                0.84543,                 1.0994,                0.45974,                0.97036,               0.000854,               0.000854,               0.000854
                     50,                 0.8715,                 1.1105,                0.50247,                0.93737,                0.96939,                0.96749,                  0.981,                0.76124,                0.97017,                0.95128,                0.96595,                0.57982,                0.84622,                 1.1007,                0.47981,                0.96805,             0.00084575,             0.00084575,             0.00084575
                     51,                0.83931,                 1.1346,                0.48704,                0.92648,                0.95616,                 0.9758,                0.98488,                0.76573,                 0.9582,                0.97788,                0.98301,                0.59139,                0.84776,                 1.0812,                0.45596,                0.95271,              0.0008375,              0.0008375,              0.0008375
                     52,                0.84561,                 1.1055,                0.48972,                0.92996,                0.93533,                0.94738,                0.98193,                0.76214,                0.92192,                0.93363,                0.97181,                0.58458,                0.86412,                 1.1157,                0.47162,                0.97374,             0.00082925,             0.00082925,             0.00082925
                     53,                0.85445,                 1.1155,                0.49236,                0.93089,                0.96539,                0.96844,                0.98563,                0.75482,                0.95237,                0.95619,                0.97385,                0.53923,                 0.9122,                 1.2443,                0.46681,                0.98719,               0.000821,               0.000821,               0.000821
                     54,                0.83849,                 1.0916,                 0.4838,                0.93028,                0.97988,                0.97562,                 0.9884,                0.76999,                0.96999,                0.96625,                 0.9767,                 0.5619,                0.87833,                 1.1255,                0.45712,                 0.9798,             0.00081275,             0.00081275,             0.00081275
                     55,                 0.8348,                 1.0836,                0.47608,                0.93148,                0.97528,                 0.9691,                0.98472,                 0.7643,                0.97528,                 0.9691,                0.98388,                0.59392,                0.87627,                 1.0502,                0.44734,                0.96603,              0.0008045,              0.0008045,              0.0008045
                     56,                0.83071,                 1.0866,                0.47483,                0.93091,                0.98289,                0.97245,                0.98852,                0.77716,                0.97515,                0.96513,                0.97704,                0.59842,                0.83085,                 1.1162,                0.43378,                0.95269,             0.00079625,             0.00079625,             0.00079625
                     57,                0.81508,                 1.0807,                0.46534,                0.92111,                0.97577,                0.98572,                0.98818,                0.78072,                0.96953,                0.97947,                0.98582,                0.59971,                0.83147,                 1.0878,                0.43131,                 0.9551,               0.000788,               0.000788,               0.000788
                     58,                0.82185,                 1.0697,                0.46968,                 0.9233,                 0.9679,                0.98422,                0.98822,                0.77131,                0.95814,                0.97435,                0.98217,                0.58161,                0.85477,                 1.1027,                 0.4187,                0.96752,             0.00077975,             0.00077975,             0.00077975
                     59,                0.82831,                 1.0699,                0.47353,                 0.9297,                0.98899,                0.96968,                0.98256,                0.78798,                0.97967,                0.96068,                0.97585,                0.58611,                0.81043,                 1.0691,                 0.4216,                0.94798,              0.0007715,              0.0007715,              0.0007715
                     60,                0.82703,                 1.0893,                0.47553,                0.93112,                0.98418,                0.96753,                0.98698,                0.78548,                0.98629,                0.96961,                0.98632,                0.60514,                0.83346,                 1.0364,                0.42774,                0.95633,             0.00076325,             0.00076325,             0.00076325
                     61,                0.82861,                 1.0628,                0.46688,                0.91635,                0.98691,                0.97335,                0.99006,                0.77993,                0.98476,                0.97134,                0.98801,                0.59639,                0.84823,                 1.0867,                0.43777,                0.96101,               0.000755,               0.000755,               0.000755
                     62,                0.82308,                 1.0679,                0.46747,                0.91987,                0.96426,                0.98364,                0.98733,                0.78537,                0.96995,                0.97367,                0.98783,                 0.6207,                0.80988,                 1.0827,                0.42736,                 0.9436,             0.00074675,             0.00074675,             0.00074675
                     63,                0.82778,                 1.0548,                0.47215,                0.92147,                0.98266,                 0.9758,                0.98815,                 0.7984,                0.98478,                0.97788,                0.98805,                0.61936,                0.81126,                 1.0436,                 0.4186,                0.94037,              0.0007385,              0.0007385,              0.0007385
                     64,                0.82661,                 1.0637,                0.47682,                0.92692,                0.98499,                0.98364,                0.99076,                0.78877,                0.98429,                0.97523,                0.98763,                0.61398,                0.79305,                 1.0227,                0.42518,                0.93849,             0.00073025,             0.00073025,             0.00073025
                     65,                0.82256,                 1.0832,                0.46607,                0.92234,                0.98947,                0.96964,                0.98985,                 0.7816,                0.97953,                0.95852,                0.98096,                0.58837,                0.82501,                 1.0781,                0.43404,                0.94101,               0.000722,               0.000722,               0.000722
                     66,                0.80081,                 1.0274,                0.45026,                0.91247,                 0.9667,                0.97005,                0.98707,                0.79398,                0.97384,                0.94436,                0.97898,                0.59595,                 0.8375,                 1.0431,                0.42873,                0.94842,             0.00071375,             0.00071375,             0.00071375
                     67,                0.80207,                 1.0454,                0.45254,                  0.915,                0.96902,                0.98614,                0.98801,                0.80218,                0.96695,                0.98405,                0.98652,                 0.6132,                 0.7895,                 1.0522,                0.40267,                 0.9301,              0.0007055,              0.0007055,              0.0007055
                     68,                0.80624,                 1.0788,                0.46079,                0.91649,                0.98521,                 0.9779,                 0.9891,                0.78056,                0.97654,                0.96933,                0.98051,                 0.5885,                0.85046,                 1.1234,                0.41862,                 0.9487,             0.00069725,             0.00069725,             0.00069725
                     69,                0.81457,                 1.0558,                  0.452,                0.92453,                0.98229,                0.97473,                0.98879,                0.78546,                0.97865,                0.97105,                0.98282,                0.58231,                0.82485,                 1.0898,                0.42408,                0.95787,               0.000689,               0.000689,               0.000689
                     70,                0.78638,                 1.0371,                0.44908,                0.90684,                0.97766,                0.98523,                0.99067,                0.80121,                0.97889,                 0.9838,                0.99014,                 0.6179,                0.78319,                 1.0225,                0.40927,                0.93256,             0.00068075,             0.00068075,             0.00068075
                     71,                0.78381,                 1.0243,                0.44216,                0.90952,                0.97273,                0.98408,                0.99115,                0.78299,                0.96827,                 0.9764,                0.98568,                0.59141,                0.85157,                 1.0509,                0.42735,                 0.9606,              0.0006725,              0.0006725,              0.0006725
                     72,                0.79666,                 1.0448,                0.45125,                0.91945,                0.97101,                0.98368,                0.99138,                0.80755,                0.96168,                0.97801,                0.98594,                0.61929,                0.77573,                0.98141,                0.40168,                0.93829,             0.00066425,             0.00066425,             0.00066425
                     73,                 0.7763,                 1.0247,                0.44105,                0.90928,                0.97143,                0.97669,                0.98991,                0.79171,                0.96785,                0.97186,                0.98541,                0.59664,                0.80408,                 1.0316,                0.40982,                0.94387,               0.000656,               0.000656,               0.000656
                     74,                0.78522,                 1.0265,                0.44006,                0.90868,                0.98962,                0.97798,                0.98945,                0.78259,                0.98532,                0.97255,                0.98495,                0.59648,                0.81609,                 1.0831,                0.40434,                0.94518,             0.00064775,             0.00064775,             0.00064775
